product_url,product_name,brand,is_original,final_price,old_price,discount,rating,reviews_count,delivery_time,market
/product/braslet-zhenskiy-na-ruku-zhemchug-kultivirovannyy-zhenskaya-bizhuteriya-490819228/?at=GRt296JPxI7oppN3c61pJJCrmkN2nfQVlJ3guplLNBz&keywords=%D0%B1%D1%80%D0%B0%D1%81%D0%BB%D0%B5%D1%82+%D1%81+%D0%BD%D0%B0%D1%82%D1%83%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%BC+%D0%B6%D0%B5%D0%BC%D1%87%D1%83%D0%B3%D0%BE%D0%BC,"Браслет женский на руку Жемчуг культивированный, женская бижутерия",,False,1206.0,2961.0,−59%,4.8,1277.0,,OZON
/product/braslet-iz-zhemchuga-braslet-zhenskiy-1121875715/?at=EqtkjYWzrFj81GAJh52gNvEU0N1J2EI73ZvEf0EP7QD&keywords=%D0%B1%D1%80%D0%B0%D1%81%D0%BB%D0%B5%D1%82+%D1%81+%D0%BD%D0%B0%D1%82%D1%83%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%BC+%D0%B6%D0%B5%D0%BC%D1%87%D1%83%D0%B3%D0%BE%D0%BC,"браслет из жемчуга, браслет женский",,False,1030.0,2156.0,−52%,4.8,239.0,,OZON
/product/braslet-na-ruku-iz-naturalnogo-barochnogo-zhemchuga-793474061/?at=ywtA3pNQvsr3AloliEkkZlXHLzDRPnSY50AJpigMnZM9&keywords=%D0%B1%D1%80%D0%B0%D1%81%D0%BB%D0%B5%D1%82+%D1%81+%D0%BD%D0%B0%D1%82%D1%83%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%BC+%D0%B6%D0%B5%D0%BC%D1%87%D1%83%D0%B3%D0%BE%D0%BC,Браслет на руку из натурального барочного жемчуга,,False,653.0,4140.0,−84%,4.7,461.0,,OZON
/product/braslet-gibkiy-1702207597/?at=BrtzNyVkQiE43qAOtLWYg9wHMRZK5psDDVkNMsqkoypD&keywords=%D0%B1%D1%80%D0%B0%D1%81%D0%BB%D0%B5%D1%82+%D1%81+%D0%BD%D0%B0%D1%82%D1%83%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%BC+%D0%B6%D0%B5%D0%BC%D1%87%D1%83%D0%B3%D0%BE%D0%BC,Браслет гибкий,,False,614.0,2120.0,−71%,5.0,4.0,,OZON
/product/braslet-iz-naturalnogo-kamnya-gematita-podveskoy-iz-barochnogo-kultivirovannogo-rechnogo-zhemchuga-1561526624/?at=6WtZJqog2hX3jApLuADBzMMFzvOqwBIZg89GOFoOjLkg&keywords=%D0%B1%D1%80%D0%B0%D1%81%D0%BB%D0%B5%D1%82+%D1%81+%D0%BD%D0%B0%D1%82%D1%83%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%BC+%D0%B6%D0%B5%D0%BC%D1%87%D1%83%D0%B3%D0%BE%D0%BC,Браслет из натурального камня гематита подвеской из барочного культивированного речного жемчуга,,False,1865.0,3500.0,−46%,4.9,79.0,,OZON
/product/braslet-iz-kamney-1875362745/?at=J8tgoV82GhYZnv4mSO8zOyDCq1O3O4IPBxmXyiq3m48J&keywords=%D0%B1%D1%80%D0%B0%D1%81%D0%BB%D0%B5%D1%82+%D1%81+%D0%BD%D0%B0%D1%82%D1%83%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%BC+%D0%B6%D0%B5%D0%BC%D1%87%D1%83%D0%B3%D0%BE%D0%BC,Браслет из камней,,False,847.0,3500.0,−75%,5.0,1.0,,OZON
/product/braslet-iz-gematita-s-barochnym-kultivirovannym-zhemchugom-rodievoe-pokrytie-1737509175/?at=WPtN8VjQ7svNZpVKUWAoLYwUYzP15LiZBw63EsoOYDVL&keywords=%D0%B1%D1%80%D0%B0%D1%81%D0%BB%D0%B5%D1%82+%D1%81+%D0%BD%D0%B0%D1%82%D1%83%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%BC+%D0%B6%D0%B5%D0%BC%D1%87%D1%83%D0%B3%D0%BE%D0%BC,Браслет из гематита с барочным культивированным жемчугом (родиевое покрытие),,False,992.0,1450.0,−31%,4.9,25.0,,OZON
/product/braslet-jewelry-a-vento-iz-rozovogo-zhemchuga-dlina-15-sm-1674990983/?at=oZt6mQX1NTz9pKDRSmELopltvrMR6rFJOgMJ7IMPDBLY&keywords=%D0%B1%D1%80%D0%B0%D1%81%D0%BB%D0%B5%D1%82+%D1%81+%D0%BD%D0%B0%D1%82%D1%83%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%BC+%D0%B6%D0%B5%D0%BC%D1%87%D1%83%D0%B3%D0%BE%D0%BC,"Браслет JEWELRY A VENTO из розового жемчуга, длина 15 см.",,False,3129.0,5990.0,−47%,4.9,259.0,,OZON
/product/braslet-iz-naturalnogo-kamnya-gematit-i-kultivirovannogo-rechnogo-zhemchuga-1641146414/?at=LZtl27PgxTypmK7RsP5rkBpH9moPk2F6Mmkz5sZL7yMN&keywords=%D0%B1%D1%80%D0%B0%D1%81%D0%BB%D0%B5%D1%82+%D1%81+%D0%BD%D0%B0%D1%82%D1%83%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%BC+%D0%B6%D0%B5%D0%BC%D1%87%D1%83%D0%B3%D0%BE%D0%BC,Браслет из натурального камня гематит и культивированного речного жемчуга,,False,2037.0,3500.0,−41%,4.9,30.0,,OZON
/product/lina-levina-jewerly-store-braslet-762129655/?at=28t0Qgk4qhE5pnN1IB9jwDlC547PP5IOVw8VquOV8EMQ&keywords=%D0%B1%D1%80%D0%B0%D1%81%D0%BB%D0%B5%D1%82+%D1%81+%D0%BD%D0%B0%D1%82%D1%83%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%BC+%D0%B6%D0%B5%D0%BC%D1%87%D1%83%D0%B3%D0%BE%D0%BC,LINA LEVINA Jewerly Store Браслет,,False,1913.0,2400.0,−20%,4.9,63.0,,OZON
