product_url,product_name,brand,is_original,final_price,old_price,discount,rating,reviews_count,delivery_time,market
/product/braslet-iz-naturalnyh-kamney-shokoladnyy-perlamutr-ametist-1250884612/?at=BrtzNyPpKFjyOENDHOzzV0lCPlLXV7cAG9MQ2SVNq5wE&keywords=%D0%B1%D1%80%D0%B0%D1%81%D0%BB%D0%B5%D1%82+%D1%81+%D0%BD%D0%B0%D1%82%D1%83%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%BC%D0%B8+%D0%BA%D0%B0%D0%BC%D0%BD%D1%8F%D0%BC%D0%B8,"Браслет из натуральных камней шоколадный перламутр,аметист",,False,1285,2050.0,−37%,5.0,35.0,,SL
/product/braslet-iz-naturalnyh-kamney-tigrovogo-glaza-obereg-1589088847/?at=z6tOz78QqcoxGQORh7EwQkni9LKONXcGPlMR3fovNLoR&keywords=%D0%B1%D1%80%D0%B0%D1%81%D0%BB%D0%B5%D1%82+%D1%81+%D0%BD%D0%B0%D1%82%D1%83%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%BC%D0%B8+%D0%BA%D0%B0%D0%BC%D0%BD%D1%8F%D0%BC%D0%B8,"Браслет из натуральных камней Тигрового глаза, оберег",,False,1377,5111.0,−73%,5.0,264.0,,SL
/product/braslet-zhenskiy-muzhskoy-iz-naturalnyh-kamney-granat-1039378817/?at=mqtkq91BlhrkRwRRu8xqXr8fgryq9WtO4KzlxuKxBnD2&keywords=%D0%B1%D1%80%D0%B0%D1%81%D0%BB%D0%B5%D1%82+%D1%81+%D0%BD%D0%B0%D1%82%D1%83%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%BC%D0%B8+%D0%BA%D0%B0%D0%BC%D0%BD%D1%8F%D0%BC%D0%B8,Браслет женский / мужской из натуральных камней Гранат,,False,753,2200.0,−65%,4.9,68.0,,SL
/product/braslet-muzhskoy-iz-naturalnogo-kamnya-yashma-pikasso-1683727803/?at=QktJLYBMPc51n8Los1QpVPmHBkl4o9ip7Ng72CEM2OvY&keywords=%D0%B1%D1%80%D0%B0%D1%81%D0%BB%D0%B5%D1%82+%D1%81+%D0%BD%D0%B0%D1%82%D1%83%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%BC%D0%B8+%D0%BA%D0%B0%D0%BC%D0%BD%D1%8F%D0%BC%D0%B8,Браслет мужской из натурального камня Яшма Пикассо,,False,869,1900.0,−54%,4.8,403.0,,SL
/product/roskosh-zolota-braslet-iz-tigrovogo-glaza-braslet-iz-naturalnyh-kamney-1034349492/?at=BrtzNyPpKFWYyNZgUjxoEnjfDjKnxRumyzmPgFz4g9kD&keywords=%D0%B1%D1%80%D0%B0%D1%81%D0%BB%D0%B5%D1%82+%D1%81+%D0%BD%D0%B0%D1%82%D1%83%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%BC%D0%B8+%D0%BA%D0%B0%D0%BC%D0%BD%D1%8F%D0%BC%D0%B8,РОСКОШЬ ЗОЛОТА Браслет из тигрового глаза / Браслет из натуральных камней,,False,402,1790.0,−77%,4.9,1047.0,,SL
/product/braslet-na-ruku-zhenskiy-iz-kamney-tigrovyy-glaz-zhenskiy-braslet-glidernyy-iz-naturalnyh-1200782868/?at=XQtkZWBVKhgqqm49HZGKG5xujDMMGGcvJZkDJfXGOGEj&keywords=%D0%B1%D1%80%D0%B0%D1%81%D0%BB%D0%B5%D1%82+%D1%81+%D0%BD%D0%B0%D1%82%D1%83%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%BC%D0%B8+%D0%BA%D0%B0%D0%BC%D0%BD%D1%8F%D0%BC%D0%B8,Браслет на руку женский из камней Тигровый глаз. Женский браслет глидерный из натуральных камней 18х11мм,,False,937,2066.0,−54%,4.9,259.0,,SL
/product/braslet-dlya-vodoleya-iz-belogo-koralla-braslet-iz-naturalnyh-kamney-1552653355/?at=MZtvY7xM3s16z7kRhVkEKm4H6X364piw0v1EPh4D8ZV1&keywords=%D0%B1%D1%80%D0%B0%D1%81%D0%BB%D0%B5%D1%82+%D1%81+%D0%BD%D0%B0%D1%82%D1%83%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%BC%D0%B8+%D0%BA%D0%B0%D0%BC%D0%BD%D1%8F%D0%BC%D0%B8,Браслет для Водолея из белого Коралла / Браслет из натуральных камней,,False,1314,5980.0,−78%,4.9,186.0,,SL
/product/roskosh-zolota-braslet-iz-kvartsa-braslet-iz-naturalnyh-kamney-1697815451/?at=99trjDRLqTKoWRn9Cp2Qwl8SY7gz7kCxlY49GfLD7N0K&keywords=%D0%B1%D1%80%D0%B0%D1%81%D0%BB%D0%B5%D1%82+%D1%81+%D0%BD%D0%B0%D1%82%D1%83%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%BC%D0%B8+%D0%BA%D0%B0%D0%BC%D0%BD%D1%8F%D0%BC%D0%B8,РОСКОШЬ ЗОЛОТА / Браслет из кварца / Браслет из натуральных камней,,False,483,1990.0,−75%,4.7,476.0,,SL
/product/braslet-dlya-streltsa-iz-belogo-koralla-braslet-iz-naturalnyh-kamney-1552653335/?at=46tRxqYM5IjwxoVKHgnn6WRFWPzWQVCQlEgR1HYBmAG7&keywords=%D0%B1%D1%80%D0%B0%D1%81%D0%BB%D0%B5%D1%82+%D1%81+%D0%BD%D0%B0%D1%82%D1%83%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%BC%D0%B8+%D0%BA%D0%B0%D0%BC%D0%BD%D1%8F%D0%BC%D0%B8,Браслет для Стрельца из белого Коралла / Браслет из натуральных камней,,False,1293,5980.0,−78%,4.9,186.0,,SL
/product/roskosh-zolota-braslet-ametist-agat-braslet-iz-naturalnyh-kamney-1400438101/?at=79tnYwE4NH3VR0KZSrGx0VQF1jYJr8SNBDy7xhQRZgwy&keywords=%D0%B1%D1%80%D0%B0%D1%81%D0%BB%D0%B5%D1%82+%D1%81+%D0%BD%D0%B0%D1%82%D1%83%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%BC%D0%B8+%D0%BA%D0%B0%D0%BC%D0%BD%D1%8F%D0%BC%D0%B8,РОСКОШЬ ЗОЛОТА Браслет аметист агат / Браслет из натуральных камней,,False,346,1990.0,−82%,4.8,21.0,,SL
