product_url,product_name,brand,is_original,final_price,old_price,discount,rating,reviews_count,delivery_time,market
/product/braslet-perlamutr-lagema-chernyy-zhemchug-perlamutrovyy-zhemchuzhnyy-1310730953/?at=r2t4OWAzKCQRpvW8COBKwKyuKZVQ2pswrBY9puvRYLAQ&keywords=%D0%B1%D1%80%D0%B0%D1%81%D0%BB%D0%B5%D1%82+%D1%81+%D0%BD%D0%B0%D1%82%D1%83%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%BC+%D0%B6%D0%B5%D0%BC%D1%87%D1%83%D0%B3%D0%BE%D0%BC,Браслет перламутр Lagema черный жемчуг перламутровый жемчужный,,False,1938.0,2530.0,−23%,,,,YDX
/product/braslet-iz-kamney-1809527422/?at=r2t4OWAzKCjB3g5cE0zxAYUKA23vwt7G7QWVhp05ZvM&keywords=%D0%B1%D1%80%D0%B0%D1%81%D0%BB%D0%B5%D1%82+%D1%81+%D0%BD%D0%B0%D1%82%D1%83%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%BC+%D0%B6%D0%B5%D0%BC%D1%87%D1%83%D0%B3%D0%BE%D0%BC,Браслет из камней,,False,437.0,461.0,−5%,5.0,1.0,,YDX
/product/braslet-mira-accessories-s-podveskoy-klever-1362056571/?at=LZtl27PgxT0wAJ0NhXL1xqkH9rRjr5c7M2A1lsrR62A7&keywords=%D0%B1%D1%80%D0%B0%D1%81%D0%BB%D0%B5%D1%82+%D1%81+%D0%BD%D0%B0%D1%82%D1%83%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%BC+%D0%B6%D0%B5%D0%BC%D1%87%D1%83%D0%B3%D0%BE%D0%BC,"Браслет MIRA accessories с подвеской ""клевер""",,False,1522.0,3600.0,−57%,,,,YDX
/product/l-attrice-braslet-iz-kamney-208192481/?at=57tw120zmcqq48v3fA3mrJmFg9B7p7TnQpW7rcp2oAM&keywords=%D0%B1%D1%80%D0%B0%D1%81%D0%BB%D0%B5%D1%82+%D1%81+%D0%BD%D0%B0%D1%82%D1%83%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%BC+%D0%B6%D0%B5%D0%BC%D1%87%D1%83%D0%B3%D0%BE%D0%BC,L'attrice Браслет из камней,,False,2588.0,4890.0,−47%,,,,YDX
/product/braslet-iz-naturalnogo-zhemchuga-raznyh-form-1859581686/?at=MZtvY75LKhOzkjn6sowoxOVtJvYJW8fDGP1jyuDy8Oy6&keywords=%D0%B1%D1%80%D0%B0%D1%81%D0%BB%D0%B5%D1%82+%D1%81+%D0%BD%D0%B0%D1%82%D1%83%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%BC+%D0%B6%D0%B5%D0%BC%D1%87%D1%83%D0%B3%D0%BE%D0%BC,Браслет из натурального жемчуга разных форм,,False,3200.0,3900.0,−17%,,,,YDX
/product/braslet-iz-kamney-1751069150/?at=BrtzNyVkQig5J89BSy16BgFJ7VqRMsMjmNrmSq4QDY5&keywords=%D0%B1%D1%80%D0%B0%D1%81%D0%BB%D0%B5%D1%82+%D1%81+%D0%BD%D0%B0%D1%82%D1%83%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%BC+%D0%B6%D0%B5%D0%BC%D1%87%D1%83%D0%B3%D0%BE%D0%BC,Браслет из камней,,False,1176.0,3500.0,−66%,4.6,12.0,,YDX
/product/braslet-iz-kamney-1872729002/?at=83tBgEjAVu2gkJAvS9wjzx4iZ0ykrDC4K7pzEC2B4Ykk&keywords=%D0%B1%D1%80%D0%B0%D1%81%D0%BB%D0%B5%D1%82+%D1%81+%D0%BD%D0%B0%D1%82%D1%83%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%BC+%D0%B6%D0%B5%D0%BC%D1%87%D1%83%D0%B3%D0%BE%D0%BC,Браслет из камней,,False,345.0,1019.0,−66%,,,,YDX
/product/mnogoryadnyy-braslet-iz-naturalnogo-lazurita-zhemchuga-i-rozovogo-kvartsa-1654646468/?at=QktJLY6KGcOmOjQBskYnv5jsyxgopOCLq4KYEUJJoLmO&keywords=%D0%B1%D1%80%D0%B0%D1%81%D0%BB%D0%B5%D1%82+%D1%81+%D0%BD%D0%B0%D1%82%D1%83%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%BC+%D0%B6%D0%B5%D0%BC%D1%87%D1%83%D0%B3%D0%BE%D0%BC,"Многорядный браслет из натурального лазурита, жемчуга и розового кварца",,False,2050.0,5200.0,−60%,,,,YDX
/product/braslet-zhenskiy-braslet-lanzerotti-cuori-hrustal-zhemchug-lava-1418322359/?at=OgtEkMAgVhk7BpZmtvl5xy9hAOPo25i6WxR7Dhk4WBmD&keywords=%D0%B1%D1%80%D0%B0%D1%81%D0%BB%D0%B5%D1%82+%D1%81+%D0%BD%D0%B0%D1%82%D1%83%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%BC+%D0%B6%D0%B5%D0%BC%D1%87%D1%83%D0%B3%D0%BE%D0%BC,"Браслет женский, браслет Lanzerotti, Cuori, хрусталь, жемчуг, лава",,False,11202.0,13460.0,−16%,,,,YDX
/product/braslet-boho-ruchnaya-rabota-iz-naturalnogo-perlamutra-zhemchuga-hrustalnyh-busin-i-1506595910/?at=LZtl27PgxTkgQlGcDA49zLCwVpBDjIXzkmXncXJly50&keywords=%D0%B1%D1%80%D0%B0%D1%81%D0%BB%D0%B5%D1%82+%D1%81+%D0%BD%D0%B0%D1%82%D1%83%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%BC+%D0%B6%D0%B5%D0%BC%D1%87%D1%83%D0%B3%D0%BE%D0%BC,"Браслет ""БОХО"" ручная работа из натурального перламутра, жемчуга, хрустальных бусин и чешского бисера",,False,5107.0,8000.0,−36%,,,,YDX
